COMPLETE_TEXT,COUNT,RARITY,TOKEN_ID
the first fruit themed 10k avatar nft on ethereum,1,0.02%,[3883]
the first cherrypicked generative fractal art nft hacked by a crypto bro,1,0.02%,[1469]
the first avastar-derivative vegetable pfp nft on namecoin to be sold at christie's,1,0.02%,[1326]
the first future-oriented cherrypicked generative mathematical audio nft on ethereum with a dramatic title,1,0.02%,[3886]
the first collaborative cherrypicked generative mathematical text nft on solana that time locks over time,1,0.02%,[660]
the first successful female ai chatbot nft on namecoin to become self aware,1,0.02%,[5245]
the first pixel art nft on eos that time locks over time,1,0.02%,[1439]
the first short form generative music nft on polkadot to be featured on a billboard,1,0.02%,[5394]
the first deflationary short form generative fractal literature nft deemed culturally significant by a right wing news anchor,1,0.02%,[807]
the first long form generative literature nft on ethereum with audio data stored on a 5.25 inch floppy,1,0.02%,[420432]
the first erotic conceptual art nft to be featured on a cereal box,1,0.02%,[9478]
the first ponzi autoglyph-derivative furniture themed 10k avatar nft on eos pumped by artchick,1,0.02%,[606060]
the first windows 95 screensaver nft to be sold on a true bonding curve,1,0.02%,[877543]
the first collaborative short form generative volumetric audio nft to disrupt a federal government,1,0.02%,[598462]
the first photography nft on bsc to disrupt a federal government,1,0.02%,[202515]
the first collaborative animal themed 10k avatar nft to be featured at the moma,1,0.02%,[62145]
the first erotic animal themed pfp nft to run a four minute mile,1,0.02%,[1773]
the first erotic rock pfp nft to be sold on a true bonding curve,1,0.02%,[586]
the first open edition autoglyph-derivative animal themed pfp nft on ethereum deemed crypto-native by a crypto bro,1,0.02%,[65535]
the first autoglyph-derivative furniture themed pfp nft with metadata stored in betamax format in a rolodex,1,0.02%,[9995]
the first generative art nft on bsc to be airdropped to autoglyph holders,1,0.02%,[46509]
the first erotic cherrypicked generative architecture nft to be sold at a fleamarket for a pittance,1,0.02%,[86987]
the first long form generative smell-o-vision nft to be featured on a billboard,1,0.02%,[170519]
the first retro dick pic nft on tezos that time locks on transfer,1,0.02%,[7889]
the first edible ab-derivative animal themed 10k avatar nft on namecoin to run a four minute mile,1,0.02%,[8802]
the first conceptual art nft to be sold on an exponential price ramp,1,0.02%,[31013]
the first community oriented photography nft to be airdropped to loot burners,1,0.02%,[250000]
the first play-to-earn cherrypicked generative fractal audio nft on ethereum redeemable for rai stones,1,0.02%,[50105]
the first rock pfp nft to be sold at a police auction for a record price,1,0.02%,[818823]
the first on-chain long form generative volumetric music nft to land on the moon,1,0.02%,[79235]
the first collaborative windows 95 screensaver nft on tezos to be featured at the moma,1,0.02%,[5600]
the first deflationary vegetable 10k avatar nft on polygon deemed to be a schelling point by the crypto nouveau-riche,1,0.02%,[762633]
the first 1/1 gan nft to be sold at a fleamarket,1,0.02%,[7517]
the first windows 95 screensaver nft on solana deemed culturally significant by the vatican,1,0.02%,[7868]
the first rock pfp nft deemed a historical artifact by a dao vote,1,0.02%,[1153]
the first cherrypicked generative audio nft to be sold at mcdonald's for a pittance,1,0.02%,[870]
the first ponzi mooncat-derivative furniture themed pfp nft on bsc to be sold on a linearly increasing price ramp,1,0.02%,[6687]
the first collaborative cherrypicked generative architecture nft on ethereum burnable for xxmon,1,0.02%,[5334]
the first dick pic nft on tezos deemed to be a schelling point by dcinvestor,1,0.02%,[782394]
the first open edition windows 95 screensaver nft to be airdropped to avastar burners,1,0.02%,[238945]
the first cherrypicked generative volumetric architecture nft on polkadot burnable for parmigiano-reggiano,1,0.02%,[392990]
the first successful conceptual art nft on polkadot inspired by capitalism,1,0.02%,[2205]
the first inflationary nft burnable for usd,1,0.02%,[438293]
the first deflationary animal themed pfp nft on namecoin to be airdropped to mooncat holders,1,0.02%,[3315]
the first inflationary short form generative architecture nft deemed a historical artifact by a dao vote,1,0.02%,[6516]
the first photography nft denounced as a cash grab by kevin abosch,1,0.02%,[84138]
the first 10k avatar nft on polygon declared to be a 'good bet' by a right wing news anchor,1,0.02%,[6542]
the first techno utopian cherrypicked generative mathematical music nft,1,0.02%,[6530]
the first body parts pfp nft on cardano with pixel data stored in svg format in calldata,1,0.02%,[6536]
the first playful dick pic nft that can be staked for rock salt,1,0.02%,[6544]
the first quantum ai gan nft on polygon,1,0.02%,[6537]
the first community oriented short form generative recursive smell-o-vision nft to be featured in chickadee magazine,1,0.02%,[3464]
the first copy minted user-curated generative smell-o-vision nft on polygon to disrupt a federal government,1,0.02%,[75533]
the first open edition dick pic nft inspired by abstract expresionism,1,0.02%,[6520]
the first avastar-derivative rock 10k avatar nft on polkadot to be airdropped to autoglyph holders,1,0.02%,[6538]
the first play-to-earn user-curated generative volumetric literature nft on polkadot to be minted during a solar eclipse,1,0.02%,[6531]
the first conceptual art nft on bsc to be airdropped to rare pepe burners,1,0.02%,[42151]
the first serious 10k avatar nft on namecoin redeemable for airmiles,1,0.02%,[6515]
the first nft on polygon redeemable for agld,1,0.02%,[6511]
the first future-oriented nft to be sold on an exponential price ramp,1,0.02%,[6533]
the first community oriented body parts 10k avatar nft on bsc to be airdropped to ab holders,1,0.02%,[6517]
the first ahistorical user-curated generative spirograph text nft on cardano with rgb values stored in betamax format on punchcards,1,0.02%,[4600]
the first conceptual art nft with pixel data stored on ipfs,1,0.02%,[6514]
the first body parts pfp nft on tezos to be sold at mcdonald's for a record price,1,0.02%,[6513]
the first community oriented dick pic nft on cardano with audio data stored in wav format on arweave,1,0.02%,[7961]
the first play-to-earn female ai chatbot nft to become self aware,1,0.02%,[6518]
the first stylegan nft on polygon with rgb values stored in the glove compartment,1,0.02%,[969]
the first inflationary gan nft to be featured in chickadee magazine,1,0.02%,[24807]
the first user-curated generative audio nft on tezos shilled by beanie,1,0.02%,[12512]
the first female ai chatbot nft inspired by greed,1,0.02%,[134344]
the first conceptual art nft on tezos to be sold using a dutch auction,1,0.02%,[895]
the first techno utopian avastar-derivative fruit themed 10k avatar nft with pixel data stored on punchcards,1,0.02%,[6378]
the first retro short form generative audio nft on ethereum to be sold using a dutch auction,1,0.02%,[33033]
the first edible furniture themed 10k avatar nft on bsc to be sold at a fleamarket,1,0.02%,[1987]
the first ahistorical user-curated generative nuclear audio nft on bsc to be sold at a police auction,1,0.02%,[749]
the first play-to-earn windows 95 screensaver nft on cardano to become self aware,1,0.02%,[6632]
the first collectible user-curated generative cellular automata poetry nft inspired by nature,1,0.02%,[80087]
the first animal themed pfp nft to be sold at sotheby's,1,0.02%,[465832]
the first loot-derivative vegetable 10k avatar nft shilled by the us government,1,0.02%,[87865]
the first deflationary windows 95 screensaver nft on ethereum deemed culturally significant by a dao vote,1,0.02%,[3847]
the first vegan long form generative poetry nft on ethereum to be featured in the onion,1,0.02%,[224466]
the first collectible cherrypicked generative art nft to be sold using a dutch auction,1,0.02%,[2591]
the first techno utopian user-curated generative art nft on namecoin to be sold using a dutch auction,1,0.02%,[35233]
the first 10k avatar nft to be featured at the moma,1,0.02%,[7814]
the first short form generative music nft deemed crypto-native by the sec,1,0.02%,[1965]
the first on-chain long form generative smell-o-vision nft denounced as a cash grab by the sec,1,0.02%,[61261]
the first loot-derivative body parts pfp nft that you 'should not sleep on' as declared by the new york times,1,0.02%,[5611]
the first cherrypicked generative literature nft to be sold at a police auction for a record price,1,0.02%,[713]
the first mooncat-derivative fruit themed pfp nft on polkadot to donate millions to charity,1,0.02%,[475471]
the first pixel art nft on polkadot to be sold using a vickrey auction,1,0.02%,[2940]
the first successful windows 95 screensaver nft to be featured in playboy magazine,1,0.02%,[7449]
the first future-oriented long form generative literature nft on tezos to be sold at sotheby's,1,0.02%,[4988]
the first quantum ai gan nft made entirely with 100% cobol,1,0.02%,[4884]
the first avastar-derivative vegetable 10k avatar nft redeemable for a physical print,1,0.02%,[8755]
the first animal themed pfp nft to be featured on the shopping network,1,0.02%,[34356]
the first deflationary user-curated generative art nft to be featured on a cereal box,1,0.02%,[959]
the first retro long form generative 3d art nft on namecoin hyper commodified by a vc fund,1,0.02%,[99762]
the first pirate themed pfp nft,1,0.02%,[740]
the first collaborative short form generative dick pic nft to be featured in the onion,1,0.02%,[8501]
the first techno utopian user-curated generative literature nft to be sold at a fleamarket,1,0.02%,[321328]
the first quantum ai gan nft on solana shilled by kevin abosch,1,0.02%,[8265]
the first ponzi nft on polkadot to be airdropped to avastar burners,1,0.02%,[6535]
the first vegan fruit themed 10k avatar nft on ethereum declared historic by the vatican,1,0.02%,[6519]
the first open edition short form generative audio nft with rgb values stored in morse code in a rolodex,1,0.02%,[820]
the first composable short form generative mathematical art nft on polygon redeemable for adrenochrome,1,0.02%,[224242]
the first solar powered loot-derivative pirate themed pfp nft to be airdropped to loot holders,1,0.02%,[600]
the first play-to-earn audio nft on namecoin denounced as 'low effort' by a dao vote,1,0.02%,[44443]
the first rare pepe-derivative rock pfp nft on tezos with pixel data stored on a 5.25 inch floppy,1,0.02%,[651]
the first cherrypicked generative dick pic nft denounced as a cash grab by artchick,1,0.02%,[2367]
the first gan nft on eos deemed to be moma material by an art critic,1,0.02%,[72697]
the first playful user-curated generative 3d poetry nft to be airdropped to avastar holders,1,0.02%,[692]
the first conceptual art nft on polkadot deemed to be moma material by the vatican,1,0.02%,[6439]
the first female ai chatbot nft on polygon to be airdropped to rare pepe holders,1,0.02%,[7627]
the first cherrypicked generative literature nft with pixel data stored on a sidechain,1,0.02%,[8726]
the first solar powered generative art nft to run a four minute mile,1,0.02%,[77564]
the first audio nft to be featured on the shopping network,1,0.02%,[6826]
the first photography nft on eos pumped by kevin abosch,1,0.02%,[736158]
the first low effort audio nft on tezos redeemable for doge,1,0.02%,[4677]
the first collectible furniture themed 10k avatar nft to be featured in the onion,1,0.02%,[1603]
the first cherrypicked generative text nft declared historic by the vatican,1,0.02%,[7295]
the first dick pic nft on polkadot to become self aware,1,0.02%,[78956]
the first viral 10k avatar nft on eos to be sold on a sinusoidal bonding curve,1,0.02%,[674224]
the first audio nft on namecoin redeemable for agld,1,0.02%,[1282]
the first cherrypicked generative poetry nft with pixel data stored in morse code in the glove compartment,1,0.02%,[24570]
the first user-curated generative recursive dick pic nft to be sold on a sinusoidal bonding curve,1,0.02%,[940]
the first 1/1 photography nft on solana inspired by techno utopianism,1,0.02%,[88889]
the first play-to-earn conceptual art nft on tezos with audio data stored in calldata,1,0.02%,[999148]
the first short form generative music nft inspired by nihilism,1,0.02%,[5599]
the first copy minted female ai chatbot nft on polygon to be airdropped to punk burners,1,0.02%,[45348]
the first viral generative art nft that can be staked for canadian tire money,1,0.02%,[86378]
the first playful nft with audio data stored in wav format in calldata,1,0.02%,[56743]
the first body parts pfp nft on polkadot to be sold at christie's for a pittance,1,0.02%,[812452]
the first dick pic nft landgrabbed by kevin abosch,1,0.02%,[6226]
the first open edition short form generative poetry nft to be featured on a billboard,1,0.02%,[99533]
the first retro avastar-derivative fruit themed pfp nft on polygon made entirely with 100% vanilla javascript,1,0.02%,[99534]
the first edible quantum ai gan nft on ethereum to be airdropped to rare pepe holders,1,0.02%,[99535]
the first cherrypicked generative flow field dick pic nft on namecoin to complete a transatlantic flight,1,0.02%,[1369]
the first photography nft on ethereum to be featured at the moma,1,0.02%,[99879]
the first pirate themed 10k avatar nft on polygon redeemable for rock salt,1,0.02%,[985]
the first generative art nft denounced as a cash grab by a dao,1,0.02%,[1193]
the first successful quantum ai gan nft on polygon inspired by pokemon,1,0.02%,[2015]
the first successful vegetable pfp nft on ethereum to be sold at mcdonald's,1,0.02%,[1635]
the first autoglyph-derivative pirate themed pfp nft on namecoin to be featured at the moma,1,0.02%,[812453]
the first pixel art nft that can be staked for tulip bulbs,1,0.02%,[86781]
the first gan nft on ethereum inspired by the old masters,1,0.02%,[812451]
the first playful furniture themed 10k avatar nft on eos heralded as a historical artifact by the us government,1,0.02%,[99532]
the first edible dick pic nft on eos redeemable for the artist's excrement,1,0.02%,[5344]
the first collectible loot-derivative vegetable pfp nft to be sold at christie's for a pittance,1,0.02%,[4263]
the first audio nft to donate millions to charity,1,0.02%,[536326]
the first user-curated generative recursive poetry nft inspired by nature,1,0.02%,[1799]
the first inflationary stylegan nft on ethereum to be sold at a yardsale,1,0.02%,[84658]
the first 1/1 nft on bsc made entirely with 100% javascript,1,0.02%,[17777]
the first future-oriented quantum ai gan nft on polygon to be featured on a billboard,1,0.02%,[1631]
the first female ai chatbot nft on ethereum with audio data stored in betamax format on a sidechain,1,0.02%,[9994]
the first 1/1 windows 95 screensaver nft on bsc redeemable for fastcash,1,0.02%,[98174]
the first conceptual art nft declared to be a 'good bet' by the sec,1,0.02%,[781293]
the first ponzi avastar-derivative animal themed pfp nft to sell out immediately,1,0.02%,[1633]
the first gan nft to have their floor swept by the sec,1,0.02%,[884698]
the first conceptual art nft on solana burnable for agld,1,0.02%,[32452]
the first female ai chatbot nft made entirely with 100% wagyu beef,1,0.02%,[4171]
the first user-curated generative text nft on bsc to be sold at a police auction for a pittance,1,0.02%,[881]
the first solar powered short form generative fractal text nft on solana that can be staked for agld,1,0.02%,[7858]
the first retro pirate themed pfp nft with a dramatic title,1,0.02%,[4431]
the first user-curated generative art nft on eos inspired by existentialism,1,0.02%,[1797]
the first stylegan nft on eos with metadata stored in morse code on a 5.25 inch floppy,1,0.02%,[3996]
the first nft that can be staked for canadian tire money,1,0.02%,[1798]
the first dick pic nft on cardano declared historic by a left wing academic,1,0.02%,[872391]
the first deflationary quantum ai gan nft on eos made entirely with 100% javascript,1,0.02%,[1630]
the first successful long form generative recursive dick pic nft on eos with rgb values stored in the glove compartment,1,0.02%,[88188]
the first play-to-earn long form generative cellular automata architecture nft on namecoin with audio data stored in contract storage,1,0.02%,[7848]
the first ponzi short form generative music nft that you 'should not sleep on' as declared by the new york times,1,0.02%,[2431]
the first collaborative pixel art nft that can be staked for tulip bulbs,1,0.02%,[837829]
the first erotic cherrypicked generative spirograph text nft made entirely with 100% on-chain code,1,0.02%,[2178]
the first cash grab short form generative spirograph art nft on tezos to be airdropped to autoglyph holders,1,0.02%,[1632]
the first cherrypicked generative mathematical text nft on polkadot to sell out immediately,1,0.02%,[7138]
the first gan nft burnable for squirrel pelts,1,0.02%,[333555]
the first pixel art nft denounced as 'low effort' by the us government,1,0.02%,[927618]
the first community oriented cherrypicked generative music nft to be airdropped to ab holders,1,0.02%,[202512]
the first photography nft made entirely with 100% usda beef,1,0.02%,[3882]
the first user-curated generative architecture nft on bsc with audio data stored on a sidechain,1,0.02%,[1767]
the first composable avastar-derivative vegetable pfp nft to be airdropped to loot holders,1,0.02%,[2432]
the first inflationary gan nft on solana with rgb values stored in a rolodex,1,0.02%,[32901]
the first copy minted cherrypicked generative flow field dick pic nft on solana,1,0.02%,[4776]
the first play-to-earn long form generative dick pic nft on eos to cause a gas war,1,0.02%,[9343]
the first short form generative fractal literature nft to be airdropped to punk holders,1,0.02%,[6214]
the first deflationary long form generative recursive architecture nft on bsc deemed historic by beanie,1,0.02%,[108108]
the first pixel art nft inspired by abstract expresionism,1,0.02%,[3067]
the first future-oriented short form generative recursive text nft deemed historic by the vatican,1,0.02%,[12132]
the first short form generative dick pic nft on tezos with pixel data stored in wav format in calldata,1,0.02%,[1796]
the first furniture themed 10k avatar nft deemed crypto-native by a dao vote,1,0.02%,[4556]
the first serious long form generative cellular automata architecture nft rugged by artchick,1,0.02%,[3462]
the first nft inspired by nihilism,1,0.02%,[11298]
the first inflationary windows 95 screensaver nft with audio data stored in wav format on ipfs,1,0.02%,[3463]
the first user-curated generative literature nft declared to be worthless by the vatican,1,0.02%,[42068]
the first solar powered user-curated generative literature nft on cardano that shrinks based on geographic location,1,0.02%,[98173]
the first ponzi windows 95 screensaver nft redeemable for squirrel pelts,1,0.02%,[32591]
the first successful conceptual art nft with rgb values stored in svg format in contract storage,1,0.02%,[1217]
the first long form generative art nft to be airdropped to loot burners,1,0.02%,[128448]
the first 10k avatar nft on bsc to land on the moon,1,0.02%,[6213]
the first user-curated generative art nft deemed historic by the crypto nouveau-riche,1,0.02%,[34223]
the first edible punk-derivative fruit themed pfp nft on solana with metadata stored on ipfs,1,0.02%,[2177]
the first avastar-derivative animal themed 10k avatar nft to be airdropped to mooncat burners,1,0.02%,[14869]
the first conceptual art nft to be airdropped to mooncat holders,1,0.02%,[6212]
the first techno utopian user-curated generative poetry nft made entirely with 100% javascript,1,0.02%,[3173]
the first audio nft on cardano to be airdropped to loot holders,1,0.02%,[13869]
the first audio nft on ethereum inspired by the old masters,1,0.02%,[534111]
the first gan nft on polygon to be sold at sotheby's,1,0.02%,[8842]
the first user-curated generative mathematical audio nft on polkadot made entirely with 100% brainfuck,1,0.02%,[997845]
the first short form generative music nft inspired by greed,1,0.02%,[7556]
the first 10k avatar nft deemed to be a schelling point by the new york times,1,0.02%,[20251]
the first on-chain short form generative poetry nft on eos to be airdropped to rare pepe holders,1,0.02%,[8592]
the first retro dick pic nft on solana that can be staked for rock salt,1,0.02%,[732]
the first vegan animal themed pfp nft to be sold on a linearly decreasing price ramp,1,0.02%,[38921]
the first punk-derivative animal themed pfp nft on ethereum pumped by the us government,1,0.02%,[911003]
the first successful user-curated generative flow field literature nft on ethereum to be airdropped to loot holders,1,0.02%,[7943]
the first punk-derivative rock pfp nft on eos to be airdropped to punk holders,1,0.02%,[996]
the first generative art nft on cardano redeemable for doge,1,0.02%,[1726]
the first quantum ai gan nft heralded as a 'new art medium' by the sec,1,0.02%,[420431]
the first play-to-earn windows 95 screensaver nft on eos to cause a gas war,1,0.02%,[984125]
the first short form generative dick pic nft to be featured on a billboard,1,0.02%,[420430]
the first community oriented windows 95 screensaver nft denounced as ahistorical by dcinvestor,1,0.02%,[5288]
the first fruit themed pfp nft with metadata stored in morse code in the glove compartment,1,0.02%,[585]
the first collectible pixel art nft on eos to be sold on an exponential price ramp,1,0.02%,[3845]
the first copy minted pixel art nft to cause a gas war,1,0.02%,[5333]
the first quantum ai gan nft on polygon to be airdropped to mooncat holders,1,0.02%,[712]
the first user-curated generative literature nft that can be staked for usd,1,0.02%,[4508]
the first quantum ai gan nft to be sold at mcdonald's,1,0.02%,[9512]
the first ponzi long form generative recursive music nft on polygon made entirely with 100% brainfuck,1,0.02%,[77888]
the first viral dick pic nft on tezos burnable for parmigiano-reggiano,1,0.02%,[122124]
the first long form generative music nft on bsc to be featured at the moma,1,0.02%,[636]
the first long form generative text nft to sell out immediately,1,0.02%,[3983]
the first ab-derivative animal themed pfp nft on bsc inspired by libertarianism,1,0.02%,[14124]
the first long form generative poetry nft to be sold at mcdonald's,1,0.02%,[1424]
the first user-curated generative poetry nft deemed to be moma material by the vatican,1,0.02%,[88142]
the first community oriented audio nft to be sold at a yardsale for a pittance,1,0.02%,[8759]
the first quantum ai gan nft inspired by pokemon,1,0.02%,[87428]
the first successful autoglyph-derivative body parts pfp nft on eos to be sold at a police auction,1,0.02%,[23232]
the first erotic short form generative volumetric poetry nft on ethereum declared to be a 'good bet' by a dao vote,1,0.02%,[890]
the first future-oriented loot-derivative body parts 10k avatar nft to be sold at a fleamarket for a record price,1,0.02%,[111124]
the first pixel art nft on ethereum with pixel data stored in betamax format in the glove compartment,1,0.02%,[5026]
the first edible animal themed pfp nft to be featured on a billboard,1,0.02%,[522648]
the first long form generative spirograph poetry nft on ethereum,1,0.02%,[100123]
the first open edition user-curated generative spirograph smell-o-vision nft,1,0.02%,[112124]
the first solar powered cherrypicked generative recursive text nft inspired by neoclassicism,1,0.02%,[50001]
the first retro nft to be airdropped to mooncat burners,1,0.02%,[3519]
the first short form generative music nft to be featured in playboy magazine,1,0.02%,[1124]
